DATE;MAC;RSSI;VENDOR;CATEGORIE
9.1.2018 9:01;00:03:19:20:3D:08;-78;Infineon AG;Handsfree
9.1.2018 9:01;00:35:66:06:0D:59;-83;Unknown;Handsfree
9.1.2018 9:01;DC:9F:A4:DB:03:EB;-80;Nokia Corporation;Smartphone
9.1.2018 9:01;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 9:01;C0:38:F9:B5:FD:3E;-91;Nokia Danmark A/S;Smartphone
9.1.2018 9:01;DC:9F:A4:DB:03:EB;-84;Nokia Corporation;Smartphone
9.1.2018 9:02;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 9:02;C0:38:F9:B5:FD:3E;-89;Nokia Danmark A/S;Smartphone
9.1.2018 9:02;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 9:03;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 9:03;84:BE:52:24:FD:23;-88;Unknown;Smartphone
9.1.2018 9:03;C0:38:F9:B5:FD:3E;-88;Nokia Danmark A/S;Smartphone
9.1.2018 9:04;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 9:04;C0:38:F9:B5:FD:3E;-86;Nokia Danmark A/S;Smartphone
9.1.2018 9:05;00:35:66:06:0D:59;-91;Unknown;Handsfree
9.1.2018 9:05;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 9:05;B4:EF:FA:2B:71:28;-86;Unknown;Smartphone
9.1.2018 9:05;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 9:05;C0:38:F9:B5:FD:3E;-91;Nokia Danmark A/S;Smartphone
9.1.2018 9:09;00:03:19:23:BF:B9;-85;Infineon AG;Handsfree
9.1.2018 9:09;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 9:09;C0:38:F9:B5:FD:3E;-89;Nokia Danmark A/S;Smartphone
9.1.2018 9:12;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 9:12;48:9D:24:00:46:B5;-86;Research In Motion;Smartphone
9.1.2018 9:12;84:BE:52:24:FD:23;-86;Unknown;Smartphone
9.1.2018 9:12;C0:38:F9:B5:FD:3E;-88;Nokia Danmark A/S;Smartphone
9.1.2018 9:14;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 9:15;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 9:15;C0:38:F9:B5:FD:3E;-81;Nokia Danmark A/S;Smartphone
9.1.2018 9:18;00:12:1C:4E:06:1A;-83;PARROT S.A.;Handsfree
9.1.2018 9:18;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 9:18;6C:D6:8A:C8:16:71;-78;LG Electronics Inc;Smartphone
9.1.2018 9:18;84:BE:52:24:FD:23;-88;Unknown;Smartphone
9.1.2018 9:21;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 9:23;C0:38:F9:B5:FD:3E;-88;Nokia Danmark A/S;Smartphone
9.1.2018 9:24;00:12:1C:4E:06:1A;-86;PARROT S.A.;Handsfree
9.1.2018 9:24;C0:38:F9:B5:FD:3E;-76;Nokia Danmark A/S;Smartphone
9.1.2018 9:29;00:1E:A4:9B:41:3A;-89;Nokia Danmark A/S;Handsfree
9.1.2018 9:30;AF:E3:6F:F9:A9:47;-74;Unknown;Handsfree
9.1.2018 9:32;30:C3:D9:42:69:2B;-82;Unknown;Handsfree
9.1.2018 9:33;AC:7A:4D:34:9C:48;-84;ALPS ELECTRIC CO.,LTD.;Handsfree
9.1.2018 9:37;74:5E:1C:ED:B2:F2;-86;PIONEER CORPORATION;Handsfree
9.1.2018 9:37;E0:75:0A:5C:36:60;-74;ALPS ERECTORIC CO.,LTD.;Handsfree
9.1.2018 9:43;AC:C1:EE:8F:0C:A2;-84;Unknown;Smartphone
9.1.2018 9:44;8C:25:05:00:D5:9F;-85;Unknown;Smartphone
9.1.2018 9:45;8C:25:05:00:D5:9F;-83;Unknown;Smartphone
9.1.2018 9:45;FC:62:B9:F3:BE:C3;-88;ALPS ERECTRIC CO.,LTD;Handsfree
9.1.2018 9:48;00:03:19:18:35:D5;-86;Infineon AG;Handsfree
9.1.2018 9:48;00:03:19:18:35:D5;-91;Infineon AG;Handsfree
9.1.2018 9:49;90:03:B7:24:80:C4;-86;PARROT;Handsfree
9.1.2018 9:52;3C:F7:A4:36:4B:DA;-86;Unknown;Wereable
9.1.2018 9:52;FC:62:B9:F3:BE:C3;-84;ALPS ERECTRIC CO.,LTD;Handsfree
9.1.2018 9:53;3C:F7:A4:36:4B:DA;-70;Unknown;Wereable
9.1.2018 9:53;3C:F7:A4:36:4B:DA;-83;Unknown;Wereable
9.1.2018 9:54;3C:F7:A4:36:4B:DA;-89;Unknown;Wereable
9.1.2018 9:56;48:9D:24:00:46:B5;-90;Research In Motion;Smartphone
9.1.2018 9:58;9C:28:BF:20:27:1F;-73;Continental Automotive Czech Republic s.r.o.;Handsfree
9.1.2018 9:59;A8:54:B2:D3:59:9A;-87;Wistron Neweb Corp.;Handsfree
9.1.2018 10:11;90:03:B7:19:F6:19;-84;PARROT;Handsfree
9.1.2018 10:15;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:16;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:16;EC:D0:9F:F2:89:CD;-86;Unknown;Smartphone
9.1.2018 10:17;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 10:17;EC:D0:9F:F2:89:CD;-89;Unknown;Smartphone
9.1.2018 10:18;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 10:18;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 10:18;00:35:66:06:0D:59;-89;Unknown;Handsfree
